material/fg-blue-grey-900 "#263238"
material/fg-brown-300 "#a1887f"
material/fg-brown-400 "#8d6e63"
material/fg-brown-500 "#795548"
material/fg-brown-600 "#6d4c41"
material/fg-brown-700 "#5d4037"
material/fg-brown-800 "#4e342e"
material/fg-brown-900 "#3e2723"
material/fg-cyan-700  "#0097a7"
material/fg-cyan-800  "#00838f"
material/fg-cyan-900  "#006064"
material/fg-deep-orange-500  "#ff5722"
material/fg-deep-orange-600  "#f4511e"
material/fg-deep-orange-700  "#e64a19"
material/fg-deep-orange-800  "#d84315"
material/fg-deep-orange-900  "#bf360c"
material/fg-deep-orange-A400 "#ff3d00"
material/fg-deep-orange-A700 "#dd2c00"
material/fg-deep-purple-300  "#9575cd"
material/fg-deep-purple-400  "#7e57c2"
material/fg-deep-purple-500  "#673ab7"
material/fg-deep-purple-600  "#5e35b1"
material/fg-deep-purple-700  "#512da8"
material/fg-deep-purple-800  "#4527a0"
material/fg-deep-purple-900  "#311b92"
material/fg-deep-purple-A200 "#7c4dff"
material/fg-deep-purple-A400 "#651fff"
material/fg-deep-purple-A700 "#6200ea"
material/fg-green-600  "#43a047"
material/fg-green-700  "#388e3c"
material/fg-green-800  "#2e7d32"
material/fg-green-900  "#1b5e20"
material/fg-grey-600 "#757575"
material/fg-grey-700 "#616161"
material/fg-grey-800 "#424242"
material/fg-grey-900 "#212121"
material/fg-inidigo-300  "#7986cb"
material/fg-inidigo-400  "#5c6bc0"
material/fg-inidigo-500  "#3f51b5"
material/fg-inidigo-600  "#3949ab"
material/fg-inidigo-700  "#303f9f"
material/fg-inidigo-800  "#283593"
material/fg-inidigo-900  "#1a237e"
material/fg-inidigo-A200 "#536dfe"
material/fg-inidigo-A400 "#3d5afe"
material/fg-inidigo-A700 "#304ffe"
material/fg-light-blue-600  "#039be5"
material/fg-light-blue-700  "#0288d1"
material/fg-light-blue-800  "#0277bd"
material/fg-light-blue-900  "#01579b"
material/fg-light-blue-A700 "#0091ea"
material/fg-light-green-700  "#689f38"
material/fg-light-green-800  "#558b2f"
material/fg-light-green-900  "#33691e"
material/fg-lime-900  "#827717"
material/fg-orange-800  #ef6c00
material/fg-orange-900  #e65100
material/fg-pink-300  "#f06292"
material/fg-pink-400  "#ec407a"
material/fg-pink-500  "#e91e63"
material/fg-pink-600  "#d81b60"
material/fg-pink-700  "#c2185b"
material/fg-pink-800  "#ad1457"
material/fg-pink-900  "#880e4f"
material/fg-pink-A200 "#ff4081"
material/fg-pink-A400 "#f50057"
material/fg-pink-A700 "#c51162"
material/fg-purple-300 "#ba68c8"
material/fg-purple-400 "#ab47bc"
material/fg-purple-500 "#9c27b0"
material/fg-purple-600 "#8e24aa"
material/fg-purple-700 "#7b1fa2"
material/fg-purple-800 "#6a1b9a"
material/fg-purple-900 "#4a148c"
material/fg-purple-A200 "#e040fb"
material/fg-purple-A400 "#d500f9"
material/fg-purple-A700 "#aa00ff"
material/fg-red-400  "#ef5350"
material/fg-red-500  "#f44336"
material/fg-red-600  "#e53935"
material/fg-red-700  "#d32f2f"
material/fg-red-800  "#c62828"
material/fg-red-900  "#b71c1c"
material/fg-red-A200 "#ff5252"
material/fg-red-A400 "#ff1744"
material/fg-red-A700 "#d50000"
material/fg-teal-500  "#009688"
material/fg-teal-600  "#00897b"
material/fg-teal-700  "#00796b"
material/fg-teal-800  "#00695c"
material/fg-teal-900  "#004d40"
